fecha,dia,enviados_totales,cobrados_totales,vendidos_totales,devueltos_totales,suscripciones_totales,tiendas_conveniencia,tiendas_barrio,sectoristas,titulo,,,,,,,,,,,,
1/2/22,Sunday,94993,93185,81248,13256,865,629,1134,92365,"CELEBRACIÃ“N LO LLEVA A LA MUERTE. YA NO LLEGÃ“ A DARLES EL ABRAZO A SUS PAPÃS, EN EL PROGRESO",,,,,,,,,,,,
1/3/22,Monday,110810,108409,101669,11186,865,664,1377,107904,CAMPEÃ“N HISTÃ“RICO. LOS TOROS SUMAN SU PRIMER TÃTULO DE LIGA NACIONAL,,,,,,,,,,,,
1/4/22,Tuesday,97543,95151,86815,6499,865,618,1376,94684,ARDE ENSAMBLADORA. SE DESTRUYEN MILES DE MOTOS EN AMATITLÃN,,,,,,,,,,,,
1/5/22,Wednesday,96234,93842,79160,25826,864,620,1395,93355,"BALEAN A ALBAÃ‘ILES.SICARIOS LOS ESPERABAN EN ESQUINA DEL CENTRO DE GUALÃN, ZACAPA",,,,,,,,,,,,
1/6/22,Thursday,96254,93851,84055,13686,862,661,1399,93332,FELIZ DIA DE REYES.,,,,,,,,,,,,
1/7/22,Friday,98142,94139,86679,11230,862,621,1406,95253,MUEREN MADRE E HIJO. PICOP IMPACTA CONTRA CAMIÃ“N EN CHIQUIMULA,,,,,,,,,,,,
1/8/22,Saturday,103938,102049,92656,17589,862,623,1355,101098,NAHUALÃ. NUEVO ATAQUE CONTRA FUERZAS DE SEGURIDAD DEJA UN AGENTE MUERTO Y 27 HERIDOS,,,,,,,,,,,,
1/9/22,Sunday,99735,97885,88962,10486,862,629,1208,97036,ACRIBILLADO. PERSIGUEN A MOTOTAXISTA EN LA AVENIDA JUAN CHAPÃN DE LA CAPITAL,,,,,,,,,,,,
1/10/22,Monday,105566,103170,96134,9118,862,664,1401,102639,"MASACRE EN MERCADO. MATAN A CUATRO COMERCIANTES Y HIEREN A OTRO, EN CHIMALTENANGO",,,,,,,,,,,,
1/11/22,Tuesday,95624,93032,84858,8660,862,618,1408,92736,LLEVABAN DROGA Y BALAS DE FUSIL. CAPTURAN A MAREROS CERCA DEL CENTRO PREVENTIVO DE LA ZONA 18 DE LA CAPITAL,,,,,,,,,,,,
1/12/22,Wednesday,96641,94237,83628,9505,862,620,1426,93733,CHOCAN DE FRENTE. CONDUCTOR DE AUTOMÃ“VIL PERECE EN ZACAPA,,,,,,,,,,,,
1/13/22,Thursday,97767,95362,86762,848,862,661,1424,94820,JUEGAZO. EL REAL ELIMINA AL BARSA EN TIEMPOS EXTRA EN LA SUPERCOPA,,,,,,,,,,,,
1/14/22,Friday,97151,94743,87996,8173,862,621,1437,94231,REPATRIAN CUERPOS DE MIGRANTES VÃCTIMAS PERECIERON EN ACCIDENTE EN MÃ‰XICO,,,,,,,,,,,,
1/15/22,Saturday,96670,93056,84534,13511,862,623,1387,93798,VIVOS DE MILAGRO. DESPRENDIMIENTO DE PAREDÃ“N CAE SOBRE DOS ALBAÃ‘ILES EN MIXCO,,,,,,,,,,,,
1/16/22,Sunday,100311,98480,91649,11691,862,629,1240,97580,VENERAN AL CRISTO NEGRO. FIELES HACEN ROMERÃA A LA BASÃLICA DE ESQUIPULAS,,,,,,,,,,,,
1/17/22,Monday,105193,102795,98303,11100,862,664,1436,102231,"CAMIONETAZO. BUS CAE EN BARRANCO Y PERECEN 5 PASAJEROS, EN SUMPANGO, SACATEPÃ‰QUEZ",,,,,,,,,,,,
1/18/22,Tuesday,101239,98770,91939,10101,863,618,1429,98329,ABREN JUICIO CONTRA PÃ‰REZ Y BALDETTI. EXFUNCIONARIOS SON ACUSADOS DE RECIBIR SOBORNOS MILLONARIOS EN EL CASO LA LÃNEA,,,,,,,,,,,,
1/19/22,Wednesday,97041,94583,83117,9146,863,620,1434,94124,MAREROS SIEMBRAN TERROR EN LAS TROJES. POBLADORES CIERRAN COMERCIOS TRAS MASACRE DE CUATRO PERSONAS EN AMATITLÃN,,,,,,,,,,,,
1/20/22,Thursday,98437,95986,87242,868,864,661,1440,95472,"ESTALLA COHETERÃA. MUERE UNA PERSONA Y OTRAS DOS QUEDAN HERIDAS, EN PARRAMOS, CHIMALTENANGO",,,,,,,,,,,,
1/21/22,Friday,101271,98889,89575,9560,864,619,1447,98341,ATACAN A CHOFERES. MAREROS DISPARAN A MANSALVA CONTRA TRES TUCTUQUEROS EN LA ZONA 18 DE LA CAPITAL,,,,,,,,,,,,
1/22/22,Saturday,96572,92756,84327,10712,864,621,1391,93696,SE ENTREGA EXMINISTRO QUE TENÃA Q.122 MILLONES. JOSÃ‰ LUIS BENITO ESTÃ ACUSADO DE FRAUDE Y LAVADO DE DINERO,,,,,,,,,,,,
1/23/22,Sunday,100179,98338,90084,8784,864,627,1243,97445,UN HOMBRE Y UNA MENOR BALEAN A VECINO,,,,,,,,,,,,
1/24/22,Monday,108047,105664,93451,8531,864,662,1440,105081,EntrÃ³ a callejÃ³n sin salida. MUJER INTENTÃ“ ESCAPAR DE SICARIOS EN MIXCO,,,,,,,,,,,,
1/25/22,Tuesday,98876,96480,71249,7918,864,616,1441,95955,"RECHAZAN SEGURO BLOQUEAN EL PAÃS, CAUSANDO PÃ‰RDIDAS",,,,,,,,,,,,
1/26/22,Wednesday,97712,95316,81491,7004,864,618,1472,94758,"MOTORISTA MATA A LADRÃ“N. VÃCTIMA REPELE ATAQUE Y QUEDA HERIDA, EN LA ZONA 7 DE LA CAPITAL",,,,,,,,,,,,
1/27/22,Thursday,99385,96991,90080,7848,864,659,1468,96394,MAREROS MATAN A RIVALES. EXTORSIONISTAS REPARTÃAN TELÃ‰FONOS EN VILLA NUEVA,,,,,,,,,,,,
1/28/22,Friday,99483,97078,90362,5553,863,619,1471,96530,"CHOFER MUERE. TRÃILER CAE EN BARRANCO EN LA CUMBRE DE HUYÃšS, EL PROGRESO",,,,,,,,,,,,
1/29/22,Saturday,98130,94126,84515,16378,863,621,1413,95233,CACERIA DE COYOTES.LOS ACUSAN DE TRASLADAR POR MÃ‰XICO A MIGRANTES ASESINADOS EN TAMAULIPAS,,,,,,,,,,,,
1/30/22,Sunday,100716,98869,93246,7903,863,627,1263,97963,MANEJABA BORRACHO. ATROPELLA A JOVEN Y DAÃ‘A VIVIENDA EN EL BARRIO LA REFORMITA,,,,,,,,,,,,
1/31/22,Monday,104462,102073,98665,11308,863,662,1469,101468,"CHOCA CONTRA CAMIÃ“N. ENCUENTRAN BOTELLAS DE LICOR EN CABINA DE PICOP EN SIQUINALÃ, ESCUINTLA",,,,,,,,,,,,
2/1/22,Tuesday,96846,94478,75712,9712,863,621,1471,93891,"ARDE TRAILER. CHOFER SE SALVA DE SINIESTRO EN EL KM 222, CONCEPCIÃ“N LAS MINAS, CHIQUIMULA",,,,,,,,,,,,
2/2/22,Wednesday,96935,94536,81715,10497,863,623,1490,93959,BALEADO SIN PIEDAD. CRIMEN OCURRIÃ“ EN PARADA DE BUS EN SAN MIGUEL PETAPA,,,,,,,,,,,,
2/3/22,Thursday,97679,95284,87087,8404,861,664,1493,94661,"EL CLASICO ES ROJO. MATÃAS ROTONDI, CON DOBLETE DERROTA A LOS CREMAS",,,,,,,,,,,,
2/4/22,Friday,97506,95126,88252,6457,861,624,1509,94512,CRIMEN EN LA TERMINAL. JOVEN CAMINABA CON SU HERMANA EN EL SECTOR DE LAS GRADAS,,,,,,,,,,,,
2/5/22,Saturday,97256,93422,85261,8127,859,626,1459,94312,"PRÃ“FUGO ENFRENTA A POLICÃAS. ISRAEL SALGUERO ESCAPÃ“ DE LA CÃRCEL EN 2020. AYER DISPARÃ“ CONTRA AGENTES ANTES DE MORIR, EN ZACAPA",,,,,,,,,,,,
2/6/22,Sunday,101380,99543,91754,7656,859,627,1302,98592,"MATAN A CHOFER Y AYUDANTE. SICARIOS LES HACEN LA PARADA Y LOS BALEAN EN COLOMBA, QUETZALTENANGO",,,,,,,,,,,,
2/7/22,Monday,104976,102597,95052,7528,859,667,1519,101931,TRÃGICO ENCONTRONAZO. JÃ“VENES HUÃAN TRAS CHOCAR CONTRA AUTO EN VILLA NUEVA,,,,,,,,,,,,
2/8/22,Tuesday,99321,96933,87410,9439,859,621,1516,96325,ARDE BODEGA. PROPIETARIOS ALMACENABAN JUEGOS PIROTÃ‰CNICOS EN LA ZONA 1 DE LA CAPITAL,,,,,,,,,,,,
2/9/22,Wednesday,96893,94475,80693,13282,859,623,1538,93873,"4 MUERTOS EN CHOQUE. CAMIONERO REBASABA Y EMBISTE A TUCTUC EN CHISEC, ALTA VERAPAZ",,,,,,,,,,,,
2/10/22,Thursday,98473,96080,86013,9752,859,664,1541,95409,"CUIDABA CARROS. MAREROS QUERÃAN OBLIGAR A RAÃšL RODRÃGUEZ A COBRAR EXTORSIÃ“N, EN LA CAPITAL",,,,,,,,,,,,
